rut_paciente,nombre_completo,fecha_nacimiento,sexo,prevision,id_atencion,fecha_atencion,tipo_atencion,codigo_cie10,codigo_minsal,dosis_prescrita,alergia_principio,id_examen,codigo_examen,resultado_valor,unidad_medida
13441273-9,Camila Fernanda Lopez Contreras,1946-09-03,F,ISAPRE,702f931d-86aa-42e5-8486-1311faaf2fb5,2025-08-14 18:11:24,PROCEDIMIENTO,J00,M002,100mg,Ninguna,fc7395dd-8371-4fad-8b2e-5c8f34968069,302047,99.88,mg/dL
15111296-0,Isidora Camila Fuentes Sepulveda,1965-09-22,F,NINGUNA,02ed6200-5e4f-40e9-b78d-cee9afcca6a4,2026-03-31 18:11:24,HOSPITALIZACION,I10,M005,200mg,Ninguna,23d7527e-ae2c-4864-9496-f590f41171ea,302047,64.32,mmol/L
22362568-1,Andres Diego Muñoz Diaz,1959-08-05,M,DIPRECA,9035258e-c8dc-43cb-bdd9-fa1944598973,2024-09-16 18:11:24,CONSULTA,J00,M004,100mg,Ninguna,0d5d2177-9d6a-40af-bd66-a9ed51a38bb3,302047,93.29,mg/dL
9695116-7,Javiera Isidora Martinez Morales,2017-03-22,F,CAPREDENA,c22cc698-16cd-428f-839b-094df2c52213,2025-05-22 18:11:24,CONSULTA,J00,M005,200mg,Losartan,d31003c8-0438-4d31-bdb1-4cf38b151a05,302076,121.43,mmol/L
16871384-3,Isidora Fernanda Rodriguez Fuentes,2012-06-06,F,CAPREDENA,0a2d7691-fdc7-4db7-9d79-97b79db186fb,2024-03-03 18:11:24,PROCEDIMIENTO,I10,M004,300mg,Ninguna,07c668f6-628c-4da0-acb9-f447c241febf,301001,82.7,mg/dL
22319190-8,Daniela Isidora Silva Silva,1951-11-04,F,FONASA,e0c9c001-1f15-4760-8b0f-12b2be554b7e,2025-11-02 18:11:24,HOSPITALIZACION,A09.9,M003,300mg,Ninguna,159a92f2-be30-400b-9dcf-cd18ca9feca6,302047,72.94,mmol/L
15430931-4,Javiera Josefa Morales Rojas,2018-08-11,F,DIPRECA,c69d4a5b-785b-497e-a7b1-c91026d66c91,2024-12-07 18:11:24,URGENCIA,I10,M003,200mg,Ninguna,05cd2021-eac9-45e4-8ed1-5073863dea89,301004,48.45,mmol/L
6112888-3,Fernanda Josefa Soto Hernandez,2007-06-14,F,NINGUNA,d6d17ff9-195f-43f4-903e-bd6e8d4c0bdb,2025-01-15 18:11:24,URGENCIA,J00,M003,500mg,Ninguna,383120ec-6710-4c52-9b4d-a29466f1267c,301001,53.52,mg/dL
6813630-0,Jorge Felipe Tapia Sepulveda,1969-04-29,M,ISAPRE,41960e19-e46a-4bb2-898c-f2878d0867f5,2025-09-07 18:11:24,PROCEDIMIENTO,M54.5,M004,100mg,Ninguna,edab7512-dc5e-4eb7-8f0a-6d9adf35409b,301045,57.23,U/L
10548359-7,Sofia Ana Torres Perez,1961-06-05,F,CAPREDENA,ecd45376-0710-43fb-a3b0-a9e730798fce,2025-07-28 18:11:24,CONSULTA,E11.9,M004,500mg,Paracetamol,97b03218-d76b-4007-b8e1-8ad41c3bc8e2,301045,28.86,mmol/L
