rut_paciente,nombre_completo,fecha_nacimiento,sexo,prevision,id_atencion,fecha_atencion,tipo_atencion,codigo_cie10,codigo_minsal,dosis_prescrita,alergia_principio,id_examen,codigo_examen,resultado_valor,unidad_medida
17.708.889-7,Sofia Antonia Morales Rodriguez,1966-04-21,F,DIPRECA,e0888a47-2e08-4335-8e05-debac39f829b,2025-04-08 18:13:27,HOSPITALIZACION,J00,M001,200mg,,6432685c-8d59-4aa1-9730-b04e5cbb1230,302047,89.51,mg/dL
19.338.795-0,Matias Gabriel Tapia Gonzalez,1984-09-06,M,FONASA,545d809d-45fa-4b29-a471-d19ec18e732f,2024-07-03 18:13:27,PROCEDIMIENTO,K21.9,M003,500mg,,f6e11ab3-2fd2-4502-a055-2854a5560863,301001,12.94,mmol/L
9.019.271-0,Fernanda Sofia Silva Diaz,1960-04-26,F,ISAPRE,a932ce2d-770a-43de-b4cf-a6f08dd155b2,2024-07-25 18:13:27,PROCEDIMIENTO,A09.9,M004,300mg,,2f2a72ea-8b72-4998-9ade-5ea94afedfb2,301045,60.69,mg/dL
19.825.367-7,Carlos Tomas Rojas Fuentes,1984-11-21,M,NINGUNA,1cbcfe36-31a0-46af-990d-9045267988bf,2025-05-04 18:13:27,URGENCIA,M54.5,M001,300mg,,4239db9e-3c8d-465f-9fa3-bb0bfc2101db,302047,135.47,U/L
22.071.407-1,Juan Diego Torres Martinez,1979-12-11,M,NINGUNA,1d74ad29-b766-4c7e-aefa-d3aae45affba,2025-02-27 18:13:27,CONSULTA,A09.9,M003,200mg,,60e95071-dadd-416d-93e8-939ab45cdd84,302076,95.69,mmol/L
7.525.631-0,Isidora Fernanda Rodriguez Contreras,2017-03-29,F,DIPRECA,112f82fd-d70b-4013-8869-ce665819add9,2024-12-08 18:13:27,HOSPITALIZACION,E11.9,M003,200mg,,3bd82fcc-043c-494c-b1ec-d8f3ccdc46d3,301045,35.41,mmol/L
5.010.724-8,Matias Pedro Rojas Muñoz,1977-09-14,M,ISAPRE,5b979ee7-0a6e-45b4-8a48-b189060ad512,2025-02-13 18:13:27,HOSPITALIZACION,M54.5,M001,500mg,Omeprazol,959fd315-9688-4332-b2c9-6a08da754987,301001,95.39,U/L
23.239.147-2,Isidora Isidora Silva Morales,1993-02-25,F,ISAPRE,6eff4de5-d328-41e9-92ad-f1f6f36df4ef,2026-01-18 18:13:27,CONSULTA,M54.5,M003,500mg,,e2b11d0d-2629-40cd-85eb-bcb730e7ee39,302047,22.57,U/L
15.200.589-0,Ana Maria Gonzalez Diaz,2001-11-18,F,NINGUNA,77f14426-e7a8-4603-bef5-9cff1ff961c6,2025-09-10 18:13:27,HOSPITALIZACION,J00,M005,400mg,,2578e50e-0da0-4512-a26b-04060fbffeb8,301001,130.04,U/L
19.847.516-5,Fernanda Ana Lopez Silva,1970-01-05,F,NINGUNA,8c952a11-8062-4cf3-b835-e0c121ef5872,2025-10-03 18:13:27,CONSULTA,K21.9,M003,100mg,Omeprazol,e966d836-8967-4e11-9359-2357019fa006,301045,14.29,U/L
7.362.687-0,Fernanda Isidora Sepulveda Rojas,1972-02-01,F,FONASA,a51feecb-37cf-4697-9221-3cddbc420d97,2026-03-17 18:13:27,CONSULTA,K21.9,M003,100mg,Omeprazol,57eddd3f-7878-4e69-abd9-06d1dc0829c7,302076,29.4,U/L
10.215.970-5,Luis Felipe Rojas Rojas,1946-07-25,M,CAPREDENA,5b5b75cc-fece-47a5-87e8-a9376a5e6301,2025-06-09 18:13:27,HOSPITALIZACION,K21.9,M004,300mg,,466a8e3b-60d4-4445-ab31-6d53fd0623cc,302076,82.17,mg/dL
7.525.631-0,Isidora Fernanda Rodriguez Contreras,2017-03-29,F,DIPRECA,1d86160d-f2f3-42f2-a847-f02312e18cbf,2026-04-30 18:13:27,HOSPITALIZACION,E11.9,M003,200mg,,9672a9de-4a8a-45ff-8e34-37beffc096be,301045,35.41,mmol/L
