rut_paciente,nombre_completo,fecha_nacimiento,sexo,prevision,id_atencion,fecha_atencion,tipo_atencion,codigo_cie10,codigo_minsal,dosis_prescrita,alergia_principio,id_examen,codigo_examen,resultado_valor,unidad_medida,motivo_rechazo
6813630-0,Jorge Felipe Tapia Sepulveda,1969-04-29,M,ISAPRE,41960e19-e46a-4bb2-898c-f2878d0867f5,2025-09-07 18:11:24,PROCEDIMIENTO,M54.5,M004,100mg,Ninguna,edab7512-dc5e-4eb7-8f0a-6d9adf35409b,301045,57.23,U/L,RUT_DIGITO_INVALIDO
9037267-0,Juan Felipe Gonzalez Rodriguez,1964-04-14,M,FONASA,b6b1a716-b7d5-4bca-b48b-410e7a8f34e3,2026-03-17 18:13:27,CONSULTA,I10,M003,500mg,Ninguna,7b9dc607-6ac5-4c77-849c-ba87170971c6,301004,10.82,U/L,RUT_DIGITO_INVALIDO
22724352-0,Carlos Jorge Perez Torres,2012-10-30,M,ISAPRE,e8f8f77a-2680-4ff5-b159-6817e29a4a6b,2025-11-06 18:13:27,CONSULTA,A09.9,M002,100mg,Ninguna,e032cd86-ef92-4f4b-bb61-336e2f72a5fc,301001,50.91,mmol/L,RUT_DIGITO_INVALIDO
7040477-0,Tomas Matias Martinez Morales,1995-02-17,M,FONASA,24b12777-d2ce-49b4-ab44-cec1fcab459e,2024-09-04 18:11:24,PROCEDIMIENTO,M54.5,M003,200mg,Omeprazol,b5dadbbd-1479-4980-b92a-a74782be225e,302076,81.4,mg/dL,RUT_DIGITO_INVALIDO
15712725-0,Juan Juan Rojas Silva,1998-04-28,M,CAPREDENA,df79d8f0-ac2c-4044-b9f9-5d305903b7f3,2024-11-09 18:13:27,URGENCIA,I10,M005,100mg,Ninguna,a5f1db5d-29b3-4c55-81b8-7ee12f34e7ea,302076,59.76,mg/dL,RUT_DIGITO_INVALIDO
9019271-0,Fernanda Sofia Silva Diaz,1960-04-26,F,ISAPRE,2f515b17-af01-46d4-8e41-3d1c0da34a90,2026-02-08 18:11:24,PROCEDIMIENTO,A09.9,M004,300mg,Ninguna,802af244-ccd5-4336-86e6-b687bd147df3,301045,60.69,mg/dL,RUT_DIGITO_INVALIDO
21609705-0,Jorge Felipe Martinez Martinez,1955-07-14,M,NINGUNA,379b2b68-b51a-4678-bbca-14d4b5406fea,2025-08-24 18:13:27,HOSPITALIZACION,I10,M004,400mg,Ninguna,0c0cae04-d422-4623-8970-ed7047d1bde2,302076,51.14,U/L,RUT_DIGITO_INVALIDO
15056901-0,Isidora Sofia Torres Sepulveda,1972-06-25,F,CAPREDENA,409a87ff-fda6-4da3-b5ab-72e0a5c1cc26,2024-06-22 18:11:24,CONSULTA,K21.9,M003,300mg,Ibuprofeno,c9904ddf-74fb-42e2-8314-a0d329565179,301001,48.46,mmol/L,RUT_DIGITO_INVALIDO
9019271-0,Fernanda Sofia Silva Diaz,1960-04-26,F,ISAPRE,daabdf5e-35e6-480a-a8b2-fb4e1dcaaf01,2026-04-19 18:13:27,PROCEDIMIENTO,A09.9,M004,300mg,Ninguna,c5aa522a-4a45-48aa-9d54-666a6113a6ba,301045,60.69,mg/dL,RUT_DIGITO_INVALIDO
12540538-0,Tomas Roberto Rodriguez Lopez,1991-06-13,M,DIPRECA,dc7aef43-be9d-4ae1-b955-af69bdb0702b,2025-02-02 18:13:27,PROCEDIMIENTO,A09.9,M001,200mg,Ninguna,5f308759-b425-4313-829d-5ae0d37bb0cf,301004,16.61,mmol/L,RUT_DIGITO_INVALIDO
12584989-0,Isidora Camila Morales Hernandez,1969-05-10,F,ISAPRE,a1f3ca80-5c73-4da1-9d55-0550a213aeb2,2026-02-15 18:13:27,PROCEDIMIENTO,M54.5,M003,300mg,Ibuprofeno,ecfa3724-a7f8-4acf-9182-51526ef9b67c,301004,82.84,U/L,RUT_DIGITO_INVALIDO
8142778-0,Diego Luis Morales Contreras,2010-06-04,M,ISAPRE,4cf260e5-06f5-4639-b539-751c40056ce6,2026-03-05 18:13:27,CONSULTA,J00,M005,100mg,Ninguna,086a8ff4-af70-48b6-a679-48be9523db65,302076,18.94,mg/dL,RUT_DIGITO_INVALIDO
12345678-9,Sofia Antonia Torres Gonzalez,2014-10-20,F,ISAPRE,b13f2648-07bb-48f2-b7ae-a225eda496c7,2024-06-19 18:11:24,CONSULTA,A09.9,M005,300mg,Ninguna,ae68b921-f6f1-4ef1-8a94-8555782f5960,302047,74.04,mg/dL,RUT_DIGITO_INVALIDO
6813630-0,Jorge Felipe Tapia Sepulveda,1969-04-29,M,ISAPRE,9922fabd-c2b0-4420-8e07-15b084d53016,2026-02-15 18:13:27,PROCEDIMIENTO,M54.5,M004,100mg,Ninguna,b73c55e7-83e2-4c08-9c9e-4e072cbd80df,301045,57.23,U/L,RUT_DIGITO_INVALIDO
22724352-0,Carlos Jorge Perez Torres,2012-10-30,M,ISAPRE,2910c598-f86a-4ce4-9707-e32b744c5ccc,2025-02-26 18:11:24,CONSULTA,A09.9,M002,100mg,Ninguna,55057ea7-9bab-40f5-add3-9b47b96f6806,301001,50.91,mmol/L,RUT_DIGITO_INVALIDO
8142778-0,Diego Luis Morales Contreras,2010-06-04,M,ISAPRE,b4950897-52a6-4564-9e81-d5b90ea76690,2025-11-20 18:13:27,CONSULTA,J00,M005,100mg,Ninguna,1d6b41ec-a9cb-446f-bdcc-ab804373c76c,302076,18.94,mg/dL,RUT_DIGITO_INVALIDO
21609705-0,Jorge Felipe Martinez Martinez,1955-07-14,M,NINGUNA,5aa0ad66-2b57-4b0e-9acd-1d3f9d3def33,2025-02-10 18:13:27,HOSPITALIZACION,I10,M004,400mg,Ninguna,00321a0e-78e4-4888-a3e8-bf574febcefe,302076,51.14,U/L,RUT_DIGITO_INVALIDO
20424662-9,Roberto Gabriel Sepulveda Lopez,1995-08-23,M,CAPREDENA,eb491095-dd56-40bf-9764-2ace8bb56afa,2050-05-12 10:00:00,PROCEDIMIENTO,M54.5,M003,300mg,Ninguna,ec04937c-9842-4764-b483-de27123926fc,301045,107.77,U/L,FECHA_ATENCION_FUTURA
15056901-0,Isidora Sofia Torres Sepulveda,1972-06-25,F,CAPREDENA,73e5a30d-80ef-4478-9ea7-6264ed253ab4,2024-10-29 18:13:27,CONSULTA,K21.9,M003,300mg,Ibuprofeno,b03d23d1-29ff-4f8a-a6dc-f0239f4d90b3,301001,48.46,mmol/L,RUT_DIGITO_INVALIDO
15200589-0,Ana Maria Gonzalez Diaz,2001-11-18,F,NINGUNA,814885f7-5c6c-4a68-9f7f-cef954345058,2024-01-14 18:11:24,HOSPITALIZACION,J00,M005,400mg,Ninguna,ca4f7eb8-7c50-4a02-bc26-69cc93d2a6ae,301001,130.04,U/L,RUT_DIGITO_INVALIDO
9037267-0,Juan Felipe Gonzalez Rodriguez,1964-04-14,M,FONASA,b3499a4c-b8ec-4dd1-94e2-2118b742ed7c,2025-11-08 18:13:27,CONSULTA,I10,M003,500mg,Ninguna,409e93e1-4edc-4c2e-ae68-41666778e5a2,301004,10.82,U/L,RUT_DIGITO_INVALIDO
12105048-0,Jorge Felipe Silva Contreras,1963-01-12,M,ISAPRE,f6907a29-173e-4e91-9ea8-68e45e946ce6,2025-10-11 18:13:27,CONSULTA,ZZZ99,MED-FALSO,200mg,Ninguna,67c9229f-a09f-4405-8577-c5fc5d2f628e,302047,48.83,mmol/L,RUT_DIGITO_INVALIDO | CODIGO_CIE10_NO_EXISTE | CODIGO_MINSAL_FORMATO_INVALIDO
15712725-0,Juan Juan Rojas Silva,1998-04-28,M,CAPREDENA,b999580e-5d15-43d8-8d03-4599971cf74f,2025-08-12 18:11:24,URGENCIA,I10,M005,100mg,Ninguna,3e9b5a0b-467a-4bf8-91c7-6e3960499c7b,302076,59.76,mg/dL,RUT_DIGITO_INVALIDO
10649276-0,Matias Gabriel Tapia Martinez,1952-08-29,M,NINGUNA,58a24b9d-867a-4b4e-99cb-27d469820a50,2025-10-03 18:11:24,HOSPITALIZACION,E11.9,M002,400mg,Ninguna,601329e8-f8a8-433b-b39a-6475ace93236,301045,51.61,mg/dL,RUT_DIGITO_INVALIDO
8142778-0,Diego Luis Morales Contreras,2010-06-04,M,ISAPRE,f7fc70f4-17eb-42e0-b78e-d350194465ff,2024-08-16 18:13:27,CONSULTA,J00,M005,100mg,Ninguna,fa091247-ad46-45d5-b558-a1ec78b9df69,302076,18.94,mg/dL,RUT_DIGITO_INVALIDO
8142778-0,Diego Luis Morales Contreras,2010-06-04,M,ISAPRE,3e40770f-fe3b-4b5a-a0c9-89ca1ffb8d9c,2025-06-27 18:11:24,CONSULTA,J00,M005,100mg,Ninguna,a1ecdfae-ee37-4092-bb8c-df2d051c5348,302076,18.94,mg/dL,RUT_DIGITO_INVALIDO
6080138-0,Diego Tomas Soto Contreras,1989-04-12,M,CAPREDENA,732f02b7-e694-4026-90f3-0d8e524922bf,2024-08-09 18:11:24,URGENCIA,I10,M001,200mg,Ninguna,7d079ffc-5412-4be1-8242-1069d4846b75,301045,125.59,U/L,RUT_DIGITO_INVALIDO
9019271-0,Fernanda Sofia Silva Diaz,1960-04-26,F,ISAPRE,52621d97-61f1-460c-bb77-ae0062438863,2024-12-17 18:13:27,PROCEDIMIENTO,A09.9,M004,300mg,Ninguna,5e7ae62f-570d-4a7e-9460-9132c6fe86b0,301045,60.69,mg/dL,RUT_DIGITO_INVALIDO
6813630-0,Jorge Felipe Tapia Sepulveda,1969-04-29,M,ISAPRE,99ceb09b-1784-4a63-bb12-b6ab852d25a9,2026-02-28 18:13:27,PROCEDIMIENTO,M54.5,M004,100mg,Ninguna,6d23c457-3d36-405d-9e3c-0fe0053f412d,301045,57.23,U/L,RUT_DIGITO_INVALIDO
10649276-0,Matias Gabriel Tapia Martinez,1952-08-29,M,NINGUNA,ca456d8f-ba73-45ae-8e56-110e90786ee1,2025-11-12 18:13:27,HOSPITALIZACION,E11.9,M002,400mg,Ninguna,e13886ab-6635-46c0-826d-aa1b24fdd362,301045,51.61,mg/dL,RUT_DIGITO_INVALIDO
14971099-0,Antonia Camila Contreras Tapia,2002-11-19,F,NINGUNA,e52542d4-e7c4-4930-a781-5d83eb6cc3f5,2026-03-01 18:13:27,URGENCIA,J00,M002,100mg,Ninguna,573ef5fc-ff7e-4494-9580-3a973b2d206a,302076,134.52,U/L,RUT_DIGITO_INVALIDO
23011319-0,Camila Javiera Contreras Morales,1991-11-25,F,NINGUNA,67213039-63d0-4dc1-9410-23e4aa75dcea,2026-03-13 18:13:27,PROCEDIMIENTO,J00,M001,500mg,Ninguna,f6287870-59f9-4748-bcfb-cfb601c451b4,302047,78.29,mmol/L,RUT_DIGITO_INVALIDO
23011319-0,Camila Javiera Contreras Morales,1991-11-25,F,NINGUNA,0c2fae79-87b3-43f6-af07-fc90cfa21437,2023-09-24 18:11:24,PROCEDIMIENTO,J00,M001,500mg,Ninguna,9a02fe2e-e694-481e-92af-7957466ce3f9,302047,78.29,mmol/L,RUT_DIGITO_INVALIDO
9019271-0,Fernanda Sofia Silva Diaz,1960-04-26,F,ISAPRE,cd89d748-2118-44f7-8704-25eff86fc096,2025-09-23 18:13:27,PROCEDIMIENTO,A09.9,M004,300mg,Ninguna,f2543286-cd39-42d1-a338-4ace262edbf1,301045,60.69,mg/dL,RUT_DIGITO_INVALIDO
12105048-0,Jorge Felipe Silva Contreras,1963-01-12,M,ISAPRE,d2403383-ac99-4fc5-a442-f1f142380c4c,2025-08-10 18:13:27,CONSULTA,ZZZ99,MED-FALSO,200mg,Ninguna,6757f7f3-c3d5-4e34-bcc7-4fa31cb1ee2f,302047,48.83,mmol/L,RUT_DIGITO_INVALIDO | CODIGO_CIE10_NO_EXISTE | CODIGO_MINSAL_FORMATO_INVALIDO
6813630-0,Jorge Felipe Tapia Sepulveda,1969-04-29,M,ISAPRE,2799d887-5dfd-46e6-a157-dcadb4eec826,2025-10-17 18:13:27,PROCEDIMIENTO,M54.5,M004,100mg,Ninguna,1e4d4c32-b5aa-4665-b968-e352a60be428,301045,57.23,U/L,RUT_DIGITO_INVALIDO
